scrum,37.02,37.17
lineout,39.58,40.01
scrum,40.49,40.56
scrum,48.1,48.23
scrum,49.2,49.28
scrum,55.37,55.54
lineout,56.48,56.52
scrum,57.51,57.56
scrum,1.02.01,1.02.08
lineout,1.06.28,1.06.31
lineout,1.09.05,1.09.07
lineout,1.14.57,1.15.00
lineout,1.16.30,1.16.33
lineout,1.28.38,1.28.41
lineout,1.30.13,1.30.16
scrum,1.31.44,1.31.50
lineout,1.33.54,1.33.57
scrum,1.36.01,1.36.06
lineout,1.37.02,1.37.04
lineout,1.39.16,1.39.20
lineout,1.41.02,1.41.05
lineout,1.44.26,1.44.28
lineout,1.45.58,1.46.01
lineout,1.47.29,1.47.33
lineout,1.48.18,1.48.21
lineout,1.49.39,1.49.41
lineout,1.51.23,1.51.25
scrum,1.58.14,1.58.24
scrum,1.59.38,1.59.45
scrum,2.02.42,2.02.50
scrum,2.04.21,2.04.29
scrum,2.06.36,2.04.46
scrum,2.07.17,2.07.25
ruck ,32.33,32.4
ruck ,34.32,34.34
ruck ,34.38,34.41
ruck ,34.45,34.48
ruck ,43.0,43.05
ruck ,43.1,43.12
ruck ,43.24,43.26
ruck ,43.28,43.31
ruck ,43.42,43.44
ruck ,43.45,43.48
ruck ,46.12,46.17
ruck ,46.22,46.25
ruck ,46.31,46.34
ruck ,46.42,46.46
ruck ,46.53,46.56
ruck ,48.26,48.29
ruck ,49.3,49.36
ruck ,49.41,49.45
ruck ,49.47,49.51
ruck ,49.54,50.02
ruck ,50.08,50.15
ruck ,52.37,52.41
ruck ,52.46,52.5
ruck ,56.58,57.0
ruck ,58.01,58.06
