lineout,11.49,11.5
lineout,12.03,12.05
scrum,12.1,12.12
lineout,18.47,18.48
scrum,20.31,20.38
lineout,20.23,20.24
lineout,25.29,25.31
lineout,26.34,26.36
scrum,28.15,17.54
scrum,28.41,18.17
scrum,29.12,18.4
scrum,30.42,20.1
lineout,37.23,24.18
lineout,,26.03
lineout,,26.51
lineout,41.47,28.44
lineout,,29.43
lineout,,31.09
scrum,45.55,32.41
scrum,46.28,33.08
scrum,47.59,34.07
scrum,1.04.38,40.48
lineout,1.07.10,43.27
scrum,1.09.14,45.33
scrum,1.13.33,48.38
scrum,1.14.46,49.24
lineout,1.22.55,56.45
scrum,1.24.24,58.19
lineout,1.25.25,59.16
scrum,1.26.57,60.52
scrum,1.30.06,63.22
scrum,1.31.35,64.23
scrum,1.32.46,65.36
scrum,1.35.54,67.06
scrum,1.37.31 ,68.38
lineout,1.41.29,72.35
scrum,1.44.24,74.09
lineout,1.47.23,76.08
lineout,1.48.50,77.17
lineout,1.51.12,79.4
,,
ruck,8.45,8.48
ruck,8.51,8.54
ruck,9.08,9.12
ruck,9.15,9.19
ruck,9.21,9.26
ruck,9.32,9.37
ruck,9.49,9.55
ruck,10.01,10.03
ruck,10.05,10.08
ruck,10.12,10.15
ruck,10.18,10.21
ruck,10.23,10.27
ruck,10.35,10.37
ruck,10.42,10.46
ruck,10.51,10.56
ruck,12.24,12.26
ruck,12.29,12.33
ruck,12.41,12.45
ruck,12.53,12.56
ruck,17.33,17.37
ruck,17.4,17.43
ruck,17.51,17.55
ruck,19.01,19.04
ruck,21.33,21.37
ruck,21.45,21.48
