scrum,24.56,25.04
lineout,26.16,26.19
scrum,29.26,29.41
lineout,30.34,30.39
lineout,31.51,31.59
lineout,33.17,33.31
lineout,34.06,34.13
lineout,39.31,39.49
scrum,40.43,40.57
lineout,44.21,44.31
lscrum,45.25,45.35
lineout,46.26,46.31
scrum,47.12,47.18
scrum,49.07,49.19
scrum,51.12,51.2
lineout,52.36,52.42
lineout,56.14,56.21
scrum,1.00.16,1.00.23
scrum,1.03.42,1.03.49
scrum,1.08.25,1.08.33
lineout,1.21.11,1.21.15
lineout,1.22.3,1.22.34
lineout,1.23.41,1.23.51
lineout,1.25.5,1.26.01
scrum,1.27.49,1.28.03
lineout,1.30.44,1.30.55
lineout,1.37.22,1.37.29
scrum,1.40.07,1.40.19
scrum,1.42.06,1.42.14
lineout,1.42.57,1.43.06
lineout,1.49.13,1.49.27
scrum,1.55.58,1.56.05
lineout,1.58.57,1.59.09
lineout,2.05.32,2.05.38
lineout,2.06.53,2.06.57
scrum,2.07.35,2.07.45
scrum,2.08.13,2.08.2
ruck,24.18,24.21
ruck,25.09,25.11
ruck ,25.14,25.16
ruck ,25.24,25.25
ruck ,26.26,26.27
ruck ,28.23,28.26
ruck ,28.36,28.39
ruck ,29.48,29.49
ruck ,30.58,31.01
ruck,31.06,31.08
ruck ,32.07,32.11
ruck ,32.16,32.18
ruck ,32.26,32.28
ruck ,34.19,34.21
ruck ,35.05,35.06
ruck ,35.14,35.17
ruck ,35.29,35.32
ruck ,39.52,39.56
ruck ,41.06,41.09
ruck ,41.16,41.18
