lineout,31.58,32.01
scrum,38.07,38.15
scrum,38.48,38.56
lineout,41.5,41.52
scrum,42.34,42.41
lineout,43.33,43.35
scrum,44.38,44..48
lineout,46.07,46.09
scrum,47.25,47.29
scrum,48.3,48.36
lineout,52.52,52.54
lineout,55.26,55.3
scrum,56.09,56.16
scrum,59.4,59.44
lineout,1.01.16,1.01.20
lineout,1.08.28,1.08.30
scrum,1.24.35,1.24.40
scrum,1.25.30,1.25.38
scrum,1.26.18,1.26.25
lineout,1.29.07,1.29.10
lineout,1.32.26,1.32.28
scrum,1.35.36,1.35.44
scrum,1.36.32,1.36.36
scrum,1.37.48,1.37.50
scrum,1.38.42,1.38.26
lineout,1.43.12,1.43.14
scrum,1.47.35,1.47.41
lineout,1.49.03,1.49.06
scrum,1.59.44,1.59.51
lineout,2.05.52,2.05.50
