lineout,15.35,15.42
lineout,17.01,17.05
lineout,18.57,19.01
lineout,20.01,20.05
scrum,26.11,26.17
scrum,30.27,30.34
scrum,33.37,33.41
lineout,35.44,35.48
scrum,36.54,37.01
scrum,38.54,39.02
lineout,42.26,42.31
lineout,45.37,45.5
scrum,46.54,46.59
lineout,51.57,52.0
scrum,53.32,53.4
lineout,54.2,54.24
scrum,55.37,55.44
lineout,58.44,58.48
ruck,15.49,15.53
ruck,17.4,17.43
ruck ,18.04,18.07
ruck,20.19,20.23
ruck ,20.48,20.56
ruck,21.01,21.08
ruck,22.56,23.01
ruck,23.04,23.09
ruck,26.2,26.29
ruck,26.32,26.35
ruck ,27.14,27.21
ruck,27.25,27.31
ruck,27.34,27.38
ruck,27.43,27.48
ruck,30.47,30.55
ruck,31.01,31.03
ruck,31.05,31.09
ruck,31.16,31.18
ruck,33.43,33.52
ruck,34.05,34.1
ruck,34.16,34.2
ruck,34.21,34.27
ruck,34.33,34.42
ruck,37.04,37.1
ruck,37.3,37.35
