scrum,11.05,11.12
lineout,17.04,17.14
lineout,18.22,18.27
scrum,20.18,20.33
scrum,21.2,21.34
scrum,24.33,24.43
lineout,29.12,29.24
lineout,32.4,32.44
lineout,38.21,38.27
lineout,40.24,40.28
scrum,42.2,42.26
scrum,46.29,46.34
lineout,48.04,48.1
lineout,50.35,50.39
scrum,52.05,52.15
lineout,53.1,53.15
scrum,54.13,54.27
lineout,1.06.23,1.06.29
lineout,1.12.22,1.12.28
scrum,1.15.47,1.15.56
scrum,1.18.5,1.18.58
lineout,1.21.14,1.21.2
scrum,1.30.18,1.30.24
lineout,1.32.09,1.32.14
scrum,1.32.55,1.33.08
scrum,1.35.06,1.35.12
lineout,1.37.11,1.37.15
lineout,1.38.09,1.38.15
lineout,1.42.1,1.42.15
scrum,1.43.48,1.43.59
lineout,1.45.03,1.45.07
lineout,1.45.54,1.46.03
lineout,1.46.36,1.46.38
lineout,1.50.31,1.50.33
ruck,11.16,11.22
ruck,11.27,11.29
ruck,11.32,11.4
ruck,15.47,16.01
ruck,17.24,17.3
ruck,17.33,17.38
ruck,20.36,20.43
ruck,21.56,22.02
ruck,22.05,22.1
ruck,22.13,22.23
ruck,22.26,22.36
ruck,24.53,25.01
ruck,25.05,25.13
ruck,25.22,25.27
ruck,25.31,25.35
ruck,25.38,25.45
ruck,25.56,26.01
ruck,26.09,26.13
ruck,26.27,26.37
ruck,26.46,26.55
ruck,29.26,29.32
ruck,29.33,29.4
ruck,30.35,30.43
ruck,30.48,30.55
ruck,31.12,31.16
