lineout,20.59,21.06
scrum,21.39,21.54
lineout,24.48,24.54
scrum,26.04,26.15
lineout,27.59,28.04
scrum,30.59,31.15
scrum,35.46,35.56
lineout,47.33,47.38
lineout,49.29,49.35
scrum,51.09,51.24
lineout,52.32,52.39
lineout,53.47,53.52
lineout,55.35,55.4
scrum,58.43,58.59
lineout,1.01.31,1.01.35
scrum,1.15.17,1.15.35
scrum,1.17.43,1.17.53
lineout,1.19.34,1.19.39
lineout,1.22.08,1.22.12
lineout,1.28.08,1.28.12
lineout,1.28.53,1.28.57
lineout,1.34.02,1.34.12
lineout,1.35.45,1.35.50
scrum,1.43.41,1.43.51
lineout,1.46.43,1.46.49
scrum,1.51.02,1.51.14
scrum,1.57.00,1.57.12
scrum,2.04.08,2.04.22
ruck ,19.32,19.35
ruck ,19.36,19.4
ruck,19.42,19.45
ruck ,19.53,19.59
ruck,20.03,20.06
ruck,22.04,22.08
ruck,26.17,26.21
ruck,26.25,26.27
ruck,28.49,28.53
ruck ,29.06,29.16
ruck,29.32,29.38
ruck,29.43,29.5
ruck ,30.06,30.1
ruck ,31.2,31.21
ruck,34.49,34.51
ruck,36.01,36.08
ruck,36.1,36.12
ruck ,38.24,38.29
ruck ,38.34,38.39
ruck ,38.45,38.49
ruck,38.52,38.57
ruck ,39.02,39.1
ruck ,40.45,40.49
ruck ,40.51,40.55
ruck ,41.06,41.12
