scrum,21.11,21.21
scrum,22.39,22.48
scrum,23.29,23.36
lineout,26.2,26.23
scrum,28.01,28.11
lineout,29.19,29.21
scrum,30.14,30.24
lineout,31.02,31.04
scrum,36.52,37.14
scrum,43.32,43.39
lineout,45.09,45.12
lineout,46.27,46.29
scrum,49.39,49.47
lineout,52.3,52.33
scrum,53.53,54.0
lineout,59.31,59.33
lineout,1.18.25,1.18.27
scrum,1.20.50,1.20.58
lineout,1.24.47,1.24.48
scrum,1.26.26,1.26.39
lineout,1.28.15,1.28.18
lineout,1.31.49,1.31.53
lineout,1.33.34,1.33.37
scrum,1.36.35,1.36.43
scrum,1.37.18,1.37.24
lineout,1.38.28,1.38.31
scrum,1.41.15,1.41.20
lineout,1.43.57,1.44.00
scrum,1.48.34,1.48.39
scrum,1.49.27,1.49.40
lineout,1.53.01,1.53.04
lineout,1.56.53,1.56.56
ruck ,20.21,20.24
ruck,21.24,21.31
ruck ,21.34,21.42
ruck,23.41,23.47
ruck ,23.5,23.56
ruck ,23.59,24.02
ruck,24.55,25.04
ruck,25.08,25.13
ruck ,28.22,28.26
ruck,28.29,28.34
ruck ,31.2,31.22
ruck,31.27,31.32
ruck,33.24,33.28
ruck ,33.48,33.56
ruck ,43.45,43.52
ruck,43.55,44.02
ruck ,46.42,46.5
ruck ,46.54,47.03
ruck ,47.14,47.2
ruck ,47.22,47.3
ruck ,52.37,52.42
ruck ,52.44,52.49
ruck ,54.05,54.09
ruck ,54.15,54.19
ruck ,54.24,54.29
