scrum,46.27,46.29
scrum,48.18,48.21
lineout,53.09,53.13
scrum,54.0,54.02
lineout,54.47,54.5
lineout,56.1,56.14
lineout,57.44,57.45
scrum,58.32,58.35
kick,58.45,58.46
kick,59.21,59.22
lineout,1.01.42,1.01.44
scrum,1.06.51,
lineout,1.08.02,1.08.04
scrum,1.11.34,1.11.38
scrum,1.12.56,1.12.59
kick,1.13.37,1.13.38
kick,1.13.57,1.13.58
scrum,1.15.35,1.15.36
kick,1.16.09,1.16.10
lineout,1.17.44,1.17.46
lineout,1.23.17,1.23.19
kick,1.27.01,1.27.02
scrum,1.27.57,1.27.59
lineout,1.29.21,1.29.25
lineout,1.31.49,1.31.50
kick,1.45.52,1.45.53
kick,1.46.49,1.46.50
scrum,1.48.47,1.48.51
lineout,1.51.20,1.51.23
kick,1.52.00,1.52.01
lineout,1.53.08,1.53.09
scrum,1.54.20,1.54.32
scrum,1.57.27,1.57.29
lineout,1.59.52,1.59.54
lineout,2.02.56,2.02.58
scrum,2.05.35,2.05.38
kick,2.08.37,2.08.38
scrum,2.16.01,2.16.08
kick,2.18.48,2.18.49
lineout,2.19.53,2.19.55
lineout,2.22.23,2.22.26
scrum,2.23.44,2.23.46
scrum,2.25.10,2.25.13
lineout,2.26.00,2.26.02
scrum,2.27.42,2.27.45
kick,2.28.19,2.28.20
