lineout,25.26,25.27
lineout,26.53,26.57
lineout,30.4,30.41
scrum,32.35,32.37
lineout,37.47,37.52
lineout,38.53,38.55
lineout,40.14,40.16
lineout,41.26,41.29
scrum,44.04,44.07
lineout,45.17,45.19
scrum,47.56,47.57
lineout,49.32,49.36
scrum,50.21,50.24
lineout,54.25,54.28
lineout,55.11,55.14
kick,56.05,56.06
lineout,1.02.51,1.02.54
scrum,1.04.46,1.04.47
lineout,1.06.30,1.06.32
kick,1.07.27,1.07.28
lineout,1.08.02,1.08.07
scrum,1.11.00,1.11.03
lineout,1.20.42,1.20.43
lineout,1.23.20,1.23.21
lineout,1.26.27,1.26.28
scrum,1.32.09,1.32.10
lineout,1.34.19,1.34.22
scrum,1.35.07,1.35.11
lineout,1.40.43,1.40.46
lineout,1.41.45,1.41.47
scrum,1.50.32,1.50.34
scrum,1.54.49,1.54.51
kick,1.57.48,1.57.49
kick,1.58.22,1.58.23
lineout,2.00.05,2.00.07
lineout,2.08.45,2.08.47
ruck ,25.33,25.36
ruck ,25.42,25.44
ruck ,25.48,25.52
ruck ,25.57,26.0
ruck ,26.04,26.08
ruck ,26.09,26.11
ruck ,26.59,27.08
ruck ,27.18,27.21
ruck ,27.28,27.31
ruck ,27.4,27.48
ruck ,32.45,32.5
ruck ,32.53,32.59
ruck ,33.02,33.06
ruck ,33.19,33.23
ruck ,33.26,33.3
ruck ,33.35,33.38
ruck ,33.4,33.44
ruck ,33.5,33.52
ruck ,33.56,33.59
ruck ,34.09,34.16
ruck ,34.2,34.23
ruck ,36.15,36.23
ruck ,36.25,36.32
ruck ,39.26,39.3
ruck ,39.33,39.36
